지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%)
112,인천,2026-06-10 01:00,18.7,,1.7,87
112,인천,2026-06-10 02:00,18.6,,2.5,90
112,인천,2026-06-10 03:00,18.9,,1.3,91
112,인천,2026-06-10 04:00,18.7,,1.7,91
112,인천,2026-06-10 05:00,18.4,,2.5,90
112,인천,2026-06-10 06:00,18.2,,2.4,91
112,인천,2026-06-10 07:00,19,,3.5,91
112,인천,2026-06-10 08:00,19.8,,2.6,88
112,인천,2026-06-10 09:00,19.8,,3.4,87
112,인천,2026-06-10 10:00,21,,2.9,81
112,인천,2026-06-10 11:00,21.8,,2.9,74
112,인천,2026-06-10 12:00,22.5,,2.3,69
112,인천,2026-06-10 13:00,22.8,,2.7,70
112,인천,2026-06-10 14:00,22.9,,3,68
112,인천,2026-06-10 15:00,23.1,,3.9,69
112,인천,2026-06-10 16:00,21.8,,4.1,73
112,인천,2026-06-10 17:00,22.4,,2.3,74
112,인천,2026-06-10 18:00,21.7,,2.8,75
112,인천,2026-06-10 19:00,20.5,,3.4,82
112,인천,2026-06-10 20:00,18.8,,2.5,84
112,인천,2026-06-10 21:00,18,,2.9,89
112,인천,2026-06-10 22:00,17.6,,2.1,89
112,인천,2026-06-10 23:00,17.6,,2.2,89
112,인천,2026-06-11 00:00,17.5,,2.4,90
