시도,국공립학교,사립학교,배치학교(국공립_초),배치학교(사립_초),배치학교(국공립_중),배치학교(사립_중),배치학교(국공립_일반고),배치학교(사립_일반고),배치학교(국공립_특성화고),배치학교(사립_특성화고),진로전담교사수,진로전담순회교사,전체학교대비_배치율
서울,970,347,567,38,278,109,99,145,17,55,1296 ,1,99.31
부산,499,116,298,6,135,35,52,51,12,24,614,2,99.67
대구,375,87,236,4,93,34,36,38,9,11,454,4,99.78
인천,487,48,259,5,134,10,77,21,17,11,527,7,99.81
광주,243,70,151,3,67,24,19,35,6,8,310,3,100
대전,254,46,147,2,73,16,28,22,6,6,299,1,100
울산,228,14,121,0,62,2,35,9,9,2,235,5,99.17
세종,100,1,53,0,27,0,17,1,2,0,99,1,99.01
경기,2282 ,226 ,1348 ,3 ,580 ,87 ,314 ,102 ,40 ,34 ,2508 ,0,100
강원,589,35,346,3,142,9,60,14,16,0,518,107,94.55
충북,418,41,247,1,108,16,40,14,17,7,431,19,98.03
충남,641,79,415,1,141,41,57,26,23,9,687,31,99.03
전북,636,117,411,0,22,3,27,30,8,6,507,0,67.33
전남,740,81,423,3,211,24,66,35,32,9,707,54,97.81
경북,742,166,466,2,184,72,59,64,32,22,816,71,99.23
경남,809,157,506,2,186,77,91,62,21,16,912,49,99.48
제주,174,15,114,0,37,6,15,9,6,0,177,10,94.44
