회계연도, 지역구분, 항목구분, 금액(원),
2024, 서울, 순계, 12909211106000,
2024, 부산, 순계, 6656030620000,
2024, 대구, 순계, 5013141014000,
2024, 인천, 순계, 5686417973000,
2024, 광주, 순계, 3014684219000,
2024, 대전, 순계, 3086198900000,
2024, 울산, 순계, 2520361811000,
2024, 세종, 순계, 1446830693000,
2024, 경기, 순계, 23600549604000,
2024, 강원, 순계, 5411194660000,
2024, 충북, 순계, 4625464114000,
2024, 충남, 순계, 5294567361000,
2024, 전북, 순계, 5259232145000,
2024, 전남, 순계, 5526689382000,
2024, 경북, 순계, 6844990358000,
2024, 경남, 순계, 7806250808000,
2024, 제주, 순계, 1727714004000,

