"시점",전체,전체,전체,전체,전체,전체,전체,전체,전체,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학년별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,학교급별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별,지역별
"시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,중1,중1,중1,중1,중1,중1,중1,중1,중1,중2,중2,중2,중2,중2,중2,중2,중2,중2,중3,중3,중3,중3,중3,중3,중3,중3,중3,고1,고1,고1,고1,고1,고1,고1,고1,고1,고2,고2,고2,고2,고2,고2,고2,고2,고2,고3,고3,고3,고3,고3,고3,고3,고3,고3,중학교,중학교,중학교,중학교,중학교,중학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,서울,서울,서울,서울,서울,서울,서울,서울,서울,부산,부산,부산,부산,부산,부산,부산,부산,부산,대구,대구,대구,대구,대구,대구,대구,대구,대구,인천,인천,인천,인천,인천,인천,인천,인천,인천,광주,광주,광주,광주,광주,광주,광주,광주,광주,대전,대전,대전,대전,대전,대전,대전,대전,대전,울산,울산,울산,울산,울산,울산,울산,울산,울산,세종,세종,세종,세종,세종,세종,세종,세종,세종,경기,경기,경기,경기,경기,경기,경기,경기,경기,강원,강원,강원,강원,강원,강원,강원,강원,강원,충북,충북,충북,충북,충북,충북,충북,충북,충북,충남,충남,충남,충남,충남,충남,충남,충남,충남,전북,전북,전북,전북,전북,전북,전북,전북,전북,전남,전남,전남,전남,전남,전남,전남,전남,전남,경북,경북,경북,경북,경북,경북,경북,경북,경북,경남,경남,경남,경남,경남,경남,경남,경남,경남,제주,제주,제주,제주,제주,제주,제주,제주,제주
"시점",전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생
"시점",분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차,분석대상자수 (명),경험률 (%),표준오차
"2005",58224,29.9,0.3,29874,25.6,0.3,28350,34.7,0.4,12167,27.0,0.6,6281,22.9,0.8,5886,31.8,0.7,11998,27.8,0.6,6118,22.7,0.7,5880,33.6,0.7,11384,30.3,0.6,5836,26.6,0.8,5548,34.5,0.9,11469,32.4,0.5,5898,28.1,0.7,5571,37.4,0.7,11206,32.8,0.6,5741,29.1,0.6,5465,36.8,1.0,-,-,-,-,-,-,-,-,-,35549,28.3,0.4,18235,23.9,0.5,17314,33.3,0.5,22675,32.6,0.4,11639,28.6,0.4,11036,37.1,0.6,6604,30.3,0.7,3401,27.0,0.9,3203,33.9,1.0,4296,30.2,0.8,2218,27.0,0.9,2078,33.9,1.1,4109,27.7,0.8,2129,23.7,1.1,1980,32.7,1.1,4049,28.8,1.0,2101,23.6,1.1,1948,34.4,1.3,3076,31.7,1.0,1612,27.2,1.0,1464,36.6,1.2,2958,31.3,0.8,1649,28.3,1.2,1309,34.6,1.6,2691,31.2,1.0,1379,27.2,1.2,1312,35.9,1.3,-,-,-,-,-,-,-,-,-,6859,29.4,0.8,3405,24.6,1.0,3454,34.8,1.1,2635,32.1,1.0,1318,28.2,1.1,1317,36.2,1.6,2785,29.7,0.9,1501,25.3,1.3,1284,34.7,1.0,2868,30.0,1.5,1511,24.9,2.0,1357,35.7,1.1,2858,31.1,1.3,1448,25.5,1.3,1410,37.0,1.4,2929,30.4,1.0,1383,26.7,1.2,1546,34.5,1.3,3523,29.3,1.1,1848,23.2,1.0,1675,36.7,1.6,3947,29.0,1.1,1909,24.9,1.4,2038,33.5,1.4,2037,30.6,1.2,1062,26.7,1.2,975,34.9,1.3
"2006",71401,41.4,0.3,37202,37.1,0.4,34199,46.2,0.4,12876,35.1,0.5,6916,31.8,0.7,5960,38.8,0.7,12382,38.1,0.6,6404,33.6,0.7,5978,43.2,0.7,12159,40.3,0.6,6298,35.6,0.7,5861,45.6,1.0,11624,43.5,0.7,6039,39.9,0.9,5585,47.6,1.0,11450,45.9,0.6,6005,42.0,0.8,5445,50.2,0.9,10910,47.3,0.7,5540,41.6,0.9,5370,53.6,1.1,37417,37.8,0.4,19618,33.7,0.4,17799,42.6,0.5,33984,45.5,0.4,17584,41.2,0.6,16400,50.5,0.6,7855,42.5,0.8,4008,38.2,1.0,3847,47.2,1.1,5195,40.3,0.9,2895,35.7,1.0,2300,45.7,1.0,4952,39.4,0.7,2646,34.9,0.9,2306,45.2,1.1,4879,41.5,0.8,2481,36.9,1.4,2398,46.6,1.2,3846,44.0,1.1,2095,40.0,1.3,1751,48.5,1.5,3798,39.9,1.1,2221,37.0,1.0,1577,43.3,2.0,3561,40.2,1.2,1786,36.7,1.2,1775,44.3,1.8,-,-,-,-,-,-,-,-,-,8290,41.9,0.8,4080,38.7,0.9,4210,45.4,1.2,3402,43.0,1.4,1726,37.6,1.8,1676,48.9,2.2,3424,39.3,0.9,1788,35.5,1.4,1636,43.5,1.1,3624,43.2,1.3,1827,38.8,1.5,1797,48.2,2.7,3336,39.9,1.7,1727,32.0,2.1,1609,48.5,1.9,3564,42.4,1.1,1764,37.7,1.2,1800,47.5,1.6,4265,39.2,1.3,2300,34.6,1.5,1965,44.7,1.4,4848,40.7,1.0,2538,35.6,1.3,2310,46.6,1.4,2562,39.0,0.9,1320,35.2,0.9,1242,43.1,1.6
"2007",74698,41.3,0.3,39466,36.5,0.3,35232,46.6,0.4,13035,35.5,0.5,7102,30.4,0.6,5933,41.4,0.7,12849,38.5,0.6,6810,33.1,0.8,6039,44.7,0.9,12936,40.7,0.6,6709,36.6,0.7,6227,45.3,0.8,12809,43.2,0.6,6602,38.6,0.7,6207,48.4,0.8,11596,44.1,0.6,6199,39.7,0.7,5397,49.1,0.8,11473,46.7,0.6,6044,42.1,0.7,5429,52.0,0.9,38820,38.3,0.4,20621,33.4,0.4,18199,43.8,0.5,35878,44.6,0.4,18845,40.1,0.5,17033,49.8,0.5,8402,42.8,0.6,4403,37.6,0.8,3999,48.6,0.8,5530,41.0,0.8,2903,36.6,0.9,2627,46.3,1.2,5163,38.1,0.9,2626,33.3,0.7,2537,44.2,1.3,5122,38.3,0.9,2576,33.0,1.0,2546,44.2,1.2,4076,43.2,0.9,2193,38.6,1.2,1883,48.2,1.0,3870,44.9,1.0,2262,39.9,0.9,1608,50.5,1.5,3723,39.7,0.7,1949,35.4,1.2,1774,45.0,1.0,-,-,-,-,-,-,-,-,-,8761,41.0,0.8,4572,35.9,0.9,4189,46.7,1.0,3352,41.9,1.9,1708,34.6,2.0,1644,49.9,1.9,3601,40.8,1.3,1965,35.2,1.4,1636,47.1,1.3,3740,42.7,0.9,1960,39.4,1.2,1780,46.5,1.4,3548,43.6,1.2,1907,40.7,1.6,1641,46.7,1.4,3661,42.1,0.9,1856,39.3,1.3,1805,45.2,1.1,4497,40.1,1.1,2616,35.9,1.5,1881,45.1,1.5,5014,40.0,0.8,2688,36.4,1.2,2326,44.2,1.3,2638,37.6,1.2,1282,32.8,1.2,1356,42.9,1.2
"2008",75238,38.8,0.3,39278,34.0,0.3,35960,44.3,0.4,13037,34.2,0.6,6893,29.6,0.7,6144,39.2,0.8,13056,35.0,0.5,6938,30.7,0.7,6118,39.9,0.9,12850,36.5,0.6,6900,31.6,0.8,5950,42.0,0.8,12720,39.9,0.6,6674,34.4,0.6,6046,46.2,0.7,12375,41.5,0.6,6067,36.7,0.8,6308,46.8,0.8,11200,47.3,0.7,5806,42.2,1.0,5394,53.0,0.8,38943,35.2,0.4,20731,30.7,0.4,18212,40.4,0.5,36295,42.7,0.4,18547,37.5,0.5,17748,48.5,0.5,8077,40.5,0.7,4122,35.7,0.8,3955,45.8,0.7,5501,37.6,0.9,2793,33.0,1.0,2708,42.9,1.4,5053,36.3,0.8,2618,31.4,1.2,2435,42.2,1.2,5240,37.3,1.0,2830,31.9,0.8,2410,43.2,1.2,4011,39.7,1.4,2183,34.8,1.2,1828,45.0,1.5,4011,40.0,1.0,2088,34.6,1.2,1923,46.1,1.2,3665,38.0,0.8,1994,33.2,1.0,1671,43.8,1.3,-,-,-,-,-,-,-,-,-,9332,39.2,0.7,4928,33.4,0.8,4404,45.4,1.0,3520,38.2,1.3,1927,33.7,1.4,1593,43.2,1.7,3657,36.4,1.1,2006,31.7,1.3,1651,41.7,1.6,3910,38.0,1.3,1981,33.1,1.4,1929,43.4,1.8,3757,39.2,1.2,1997,34.1,1.2,1760,44.7,2.1,3581,39.6,1.1,1810,36.2,1.9,1771,43.3,1.8,4589,38.2,1.3,2272,33.1,1.6,2317,44.4,1.1,4849,39.4,1.2,2352,36.8,1.7,2497,42.4,1.0,2485,37.2,1.6,1377,32.2,1.2,1108,42.6,2.1
"2009",75066,37.5,0.3,39612,32.1,0.3,35454,43.5,0.4,12714,33.2,0.6,6933,27.4,0.7,5781,39.8,0.8,12868,33.9,0.6,6965,29.0,0.7,5903,39.4,0.9,12827,36.3,0.5,7035,31.4,0.6,5792,41.8,0.8,12477,38.3,0.6,6890,32.4,0.7,5587,45.1,0.8,12427,39.3,0.6,6104,34.2,0.8,6323,44.9,0.8,11753,44.3,0.6,5685,38.7,0.8,6068,50.5,0.8,38409,34.5,0.4,20933,29.3,0.4,17476,40.3,0.5,36657,40.6,0.4,18679,35.0,0.5,17978,46.8,0.5,8207,39.2,0.8,4224,33.4,0.7,3983,45.6,1.0,5468,34.9,0.9,2748,30.3,1.1,2720,40.3,1.1,5063,32.3,0.9,2682,26.5,0.9,2381,39.2,1.2,5126,37.5,0.9,2792,32.7,1.1,2334,42.8,1.0,4110,40.5,0.8,2253,36.7,1.0,1857,44.6,1.0,3948,40.7,1.3,2230,33.8,1.2,1718,48.4,1.5,3635,37.0,1.0,2098,32.6,1.2,1537,42.2,1.1,-,-,-,-,-,-,-,-,-,9430,37.5,0.7,5071,32.0,0.8,4359,43.4,0.9,3553,38.5,1.8,1885,32.0,1.3,1668,45.7,2.3,3636,38.2,1.1,2008,32.2,1.5,1628,45.1,1.7,3852,36.6,1.2,1963,31.1,1.2,1889,42.9,1.6,3799,40.0,1.4,1983,36.9,2.5,1816,43.3,1.5,3381,38.9,1.2,1734,33.4,1.4,1647,44.9,1.3,4589,35.7,1.0,2182,30.9,0.9,2407,41.5,1.3,4933,36.3,1.2,2426,30.7,1.3,2507,42.8,1.2,2336,35.4,1.5,1333,29.6,1.2,1003,41.8,1.0
"2010",73238,37.4,0.3,38391,32.7,0.3,34847,42.6,0.4,12468,31.9,0.6,6519,27.2,0.7,5949,36.9,0.8,12499,34.2,0.5,6620,30.1,0.7,5879,38.8,0.8,12603,37.0,0.6,6817,32.4,0.7,5786,42.1,0.9,12021,38.7,0.7,6229,33.5,0.8,5792,44.5,0.9,12124,38.4,0.5,6273,33.5,0.7,5851,43.9,0.8,11523,44.0,0.6,5933,39.3,0.8,5590,49.2,0.9,37570,34.4,0.4,19956,30.0,0.4,17614,39.3,0.5,35668,40.3,0.4,18435,35.4,0.4,17233,45.9,0.5,7848,39.4,0.7,4018,35.2,0.8,3830,44.0,0.9,5303,36.2,0.9,2804,31.3,1.1,2499,41.8,1.1,5030,33.6,0.9,2650,27.7,0.9,2380,40.5,1.2,5008,35.5,0.9,2566,29.6,0.8,2442,41.9,1.1,4024,39.7,1.0,2149,34.0,1.2,1875,45.8,1.3,3874,38.7,1.0,2110,34.9,1.1,1764,43.0,1.1,3478,35.7,1.3,2170,30.7,1.1,1308,41.5,1.8,-,-,-,-,-,-,-,-,-,9044,37.6,0.7,4825,33.1,0.8,4219,42.6,0.9,3447,37.4,1.2,1771,32.0,1.0,1676,43.3,2.3,3500,38.2,1.6,1861,32.1,1.1,1639,45.1,1.9,3869,36.9,1.5,1975,32.7,2.2,1894,41.6,1.8,3778,38.9,1.3,2005,34.7,1.5,1773,43.6,1.4,3381,39.1,1.0,1752,35.4,1.4,1629,43.2,1.4,4515,34.5,0.9,2136,30.7,1.1,2379,39.0,1.9,4810,36.0,1.1,2318,31.7,1.3,2492,40.9,0.9,2329,35.9,1.8,1281,30.8,1.3,1048,41.5,2.7
"2011",75643,32.8,0.2,37873,28.0,0.3,37770,38.2,0.3,12728,27.7,0.5,6548,22.6,0.6,6180,33.2,0.8,12903,30.2,0.4,6413,25.4,0.6,6490,35.4,0.7,12843,32.0,0.5,6589,27.1,0.6,6254,37.4,0.6,12569,34.4,0.5,6386,29.5,0.6,6183,39.9,0.7,12508,34.2,0.5,5954,30.2,0.7,6554,38.7,0.7,12092,38.0,0.5,5983,32.6,0.6,6109,44.2,0.7,38474,30.0,0.3,19550,25.1,0.4,18924,35.4,0.4,37169,35.5,0.3,18323,30.8,0.4,18846,40.9,0.4,11355,34.4,0.6,5428,29.7,0.8,5927,39.6,0.7,5157,32.5,0.8,2781,28.9,0.9,2376,36.7,1.1,4439,29.9,0.9,2391,26.1,1.1,2048,34.4,1.2,4516,32.8,0.8,2183,28.4,1.1,2333,37.7,0.9,3309,34.4,1.2,1714,29.0,1.0,1595,40.3,1.7,3003,34.6,0.9,1554,29.4,1.1,1449,40.4,1.0,2913,32.4,1.0,1453,27.1,1.2,1460,38.7,1.6,-,-,-,-,-,-,-,-,-,14427,33.2,0.5,7226,27.6,0.6,7201,39.4,0.6,2722,32.2,1.4,1360,26.2,0.8,1362,38.9,1.7,2973,33.2,1.3,1396,29.0,1.4,1577,38.0,1.3,3457,32.0,1.2,1792,27.6,1.2,1665,36.9,1.5,3382,32.3,1.0,1638,28.0,1.1,1744,37.1,1.2,3434,32.0,1.3,1623,26.9,1.4,1811,37.6,1.4,4028,30.9,1.3,2010,26.1,1.3,2018,36.5,1.4,4733,30.9,1.0,2419,27.1,1.0,2314,35.3,1.2,1795,30.1,1.2,905,25.4,1.1,890,35.2,2.5
