인구추이별,인구추이별(1),인구추이별(2),2018,2019,2020,2021,2022,2023
세대수 (세대),,,1213201,1238641,1267956,1298647,1322632,1350912
등록인구 (명)남-총수,총수,남,1521044,1523404,1512095,1513277,1525371,1544637
등록인구 (명)여-총수,총수,여,1501467,1505881,1498381,1501462,1513792,1533789
등록인구 (명)남-한국인,한국인,남,1481844,1482249,1473943,1476373,1485175,1499016
등록인구 (명)여-한국인,한국인,여,1472798,1474777,1468885,1472002,1482139,1498394
등록인구 (명)남-외국인,외국인,남,39200,41155,38152,36904,40196,45621
등록인구 (명)여-외국인,외국인,여,28669,31104,29496,29460,31653,35395
인구증가율 (%),,,0.38,0.22,-0.62,0.14,0.81,1.29
세대당인구 (명),,,2.49,2.45,2.37,2.32,2.3,2.28
65세 이상 고령자 (명),,,362675,384506,411483,463850,463850,497057
인구밀도 (명/제곱킬로미터),,,2845,2849,2826,2827,2850,2885
면적 (제곱킬로미터),,,1062.4,1063.26,1065.23,1066.46,1066.47,1067.09
