연도,시도,시군구,졸업자,진학자,진학률
2024,서울,종로구,2301,1369,59.5
2024,서울,중구,1676,899,53.6
2024,서울,용산구,1413,907,64.2
2024,서울,성동구,1111,713,64.2
2024,서울,광진구,2255,1321,58.6
2024,서울,동대문구,1953,1311,67.1
2024,서울,중랑구,1797,1191,66.3
2024,서울,성북구,2414,1539,63.8
2024,서울,강북구,1574,1007,64.0
2024,서울,도봉구,1898,1202,63.3
2024,서울,노원구,5458,3410,62.5
2024,서울,은평구,3627,2455,67.7
2024,서울,서대문구,1535,1068,69.6
2024,서울,마포구,1704,1006,59.0
2024,서울,양천구,3740,2146,57.4
2024,서울,강서구,4040,2553,63.2
2024,서울,구로구,2789,1865,66.9
2024,서울,금천구,1179,869,73.7
2024,서울,영등포구,1695,1057,62.4
2024,서울,동작구,1690,1015,60.1
2024,서울,관악구,2652,1597,60.2
2024,서울,서초구,2896,1556,53.7
2024,서울,강남구,5493,2601,47.4
2024,서울,송파구,4283,2672,62.4
2024,서울,강동구,3314,2171,65.5
2024,부산,중구,486,401,82.5
2024,부산,서구,691,513,74.2
2024,부산,동구,681,535,78.6
2024,부산,영도구,748,499,66.7
2024,부산,부산진구,2683,2057,76.7
2024,부산,동래구,2484,1904,76.7
2024,부산,남구,2102,1480,70.4
2024,부산,북구,1547,1288,83.3
2024,부산,해운대구,2528,1589,62.9
2024,부산,사하구,2179,1703,78.2
2024,부산,금정구,2044,1628,79.6
2024,부산,강서구,729,588,80.7
2024,부산,연제구,720,607,84.3
2024,부산,수영구,685,566,82.6
2024,부산,사상구,689,558,81.0
2024,부산,기장군,1025,798,77.9
2024,대구,중구,874,657,75.2
2024,대구,동구,1861,1371,73.7
2024,대구,서구,1204,910,75.6
2024,대구,남구,1502,1135,75.6
2024,대구,북구,3039,2616,86.1
2024,대구,수성구,3902,2681,68.7
2024,대구,달서구,4877,3684,75.5
2024,대구,달성군,1551,1271,81.9
2024,대구,군위군,76,75,98.7
2024,인천,중구,2259,1545,68.4
2024,인천,동구,463,300,64.8
2024,인천,연수구,3443,2408,69.9
2024,인천,미추홀구,2576,1803,70.0
